"Date","AEX_disc_return","Portfolio_disc_return","MSCI_disc_return","Date.y","new_cases_per_million","reproduction_rate","dMonday","dPeriod","AEX_cont_return","Portfolio_cont_return","MSCI_cont_return"
2020-09-14,0.077897139544585,0.884115035125745,1.18736306452751,2020-09-13,67.955,1.37,1,0,0.0778668154695372,0.880229622367824,1.18036921643751
2020-09-15,0.635363116356526,3.64832147425378,0.516868058950904,2020-09-14,76.748,1.39,0,0,0.633353193953028,3.58334585923221,0.515536880984614
2020-09-16,0.446083280870565,4.05043090373132,-0.112917795844621,2020-09-15,86.123,1.41,0,0,0.445091278413885,3.97055081570693,-0.112981596020073
2020-09-17,-1.06548716938559,-2.46561992704945,-0.840014608949728,2020-09-16,102.02,1.43,0,0,-1.07120412917148,-2.49652540059216,-0.843562614815688
2020-09-18,-0.295033304373008,-5.46278271754302,-0.55072260418128,2020-09-17,106.97,1.45,0,0,-0.295469385560823,-5.61765953437276,-0.552244671934707
2020-09-21,-2.6940183353,-2.84963927380035,-1.62780854290854,2020-09-20,113.899,1.43,1,0,-2.73097221728885,-2.89102970866192,-1.64120290141871
2020-09-22,0.889908770358759,1.47248369834941,0.433855035049046,2020-09-21,132.416,1.43,0,0,0.885972418318776,1.46174791724473,0.432916597418718
2020-09-23,0.90609859832094,-3.10281252632128,-1.47087699255636,2020-09-22,137.017,1.42,0,0,0.902018155009041,-3.15196925520408,-1.48180164601564
2020-09-24,-0.837487171968908,-1.26400029381741,-0.434806239469532,2020-09-23,143.247,1.4,0,0,-0.841013799624625,-1.27205673851684,-0.435754270863421
2020-09-25,-0.0369610615216953,0.409893261526343,1.02625689175173,2020-09-24,151.108,1.39,0,0,-0.0369678938056088,0.409055487635989,1.02102662922891
2020-09-28,1.98924035421789,4.5002393282611,1.61560490625167,2020-09-27,177.079,1.37,1,0,1.96971350087099,4.40191756367459,1.60269289592738
2020-09-29,-0.498486413979372,-1.8700544875884,-0.262327625934968,2020-09-28,171.78,1.35,0,0,-0.499733001943904,-1.88776110290749,-0.262672307780705
2020-09-30,-0.222254609050483,4.73524861756712,0.435400746401267,2020-09-29,181.155,1.34,0,0,-0.222501961175668,4.6265538244136,0.434455619750674
