"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2021","682.70","684.24","685.09","679.24","-","-0.34%"
"Feb 16, 2021","685.06","685.08","687.26","683.55","-","-0.00%"
"Feb 15, 2021","685.08","682.42","685.29","682.42","-","0.42%"
"Feb 12, 2021","682.24","679.72","682.49","677.99","-","0.37%"
"Feb 11, 2021","679.74","677.93","680.90","676.90","-","0.25%"
"Feb 10, 2021","678.06","677.06","681.15","674.60","-","0.20%"
"Feb 09, 2021","676.70","675.58","677.76","675.08","-","0.17%"
"Feb 08, 2021","675.53","670.87","675.58","670.86","-","0.74%"
"Feb 05, 2021","670.56","667.27","671.49","667.09","-","0.57%"
"Feb 04, 2021","666.76","663.17","666.76","661.43","-","0.57%"
"Feb 03, 2021","662.97","661.37","664.94","661.36","-","0.30%"
"Feb 02, 2021","660.97","652.49","662.62","652.49","-","1.29%"
"Feb 01, 2021","652.54","642.49","653.47","642.14","-","1.50%"
"Jan 29, 2021","642.91","654.69","655.41","640.34","-","-1.77%"
"Jan 28, 2021","654.50","652.39","659.09","647.29","-","0.31%"
"Jan 27, 2021","652.50","666.15","666.79","650.51","-","-2.04%"
"Jan 26, 2021","666.09","668.24","669.18","665.60","-","-0.30%"
"Jan 25, 2021","668.08","666.55","669.49","661.46","-","0.21%"
"Jan 22, 2021","666.69","669.77","669.81","665.19","-","-0.44%"
"Jan 21, 2021","669.62","668.65","670.82","668.40","-","0.18%"
"Jan 20, 2021","668.44","661.12","669.27","661.04","-","1.11%"
"Jan 19, 2021","661.09","655.65","661.79","655.64","-","0.83%"
"Jan 18, 2021","655.65","655.72","655.78","654.63","-","-0.03%"
"Jan 15, 2021","655.86","661.84","662.07","653.05","-","-0.86%"
"Jan 14, 2021","661.56","661.42","664.57","661.27","-","0.01%"
"Jan 13, 2021","661.49","660.62","662.83","659.39","-","0.28%"
"Jan 12, 2021","659.65","658.59","661.16","657.13","-","0.18%"
"Jan 11, 2021","658.48","663.06","663.31","656.85","-","-0.77%"
"Jan 08, 2021","663.59","657.59","663.59","657.59","-","0.92%"
"Jan 07, 2021","657.53","650.57","658.30","650.54","-","1.18%"
"Jan 06, 2021","649.85","647.37","654.43","645.34","-","0.45%"
"Jan 05, 2021","646.96","642.57","648.26","642.23","-","0.62%"
"Jan 04, 2021","642.98","646.71","651.31","638.36","-","-0.51%"
"Jan 01, 2021","646.30","646.17","646.30","646.16","-","0.00%"
"Dec 31, 2020","646.27","645.30","646.40","643.62","-","0.15%"
"Dec 30, 2020","645.29","643.06","646.65","642.52","-","0.36%"
"Dec 29, 2020","643.00","641.37","646.36","641.32","-","0.32%"
"Dec 28, 2020","640.92","637.95","641.70","637.61","-","0.54%"
"Dec 25, 2020","637.46","637.36","637.73","637.28","-","0.03%"
"Dec 24, 2020","637.30","636.09","637.40","635.85","-","0.20%"
"Dec 23, 2020","636.01","633.74","638.14","633.59","-","0.37%"
"Dec 22, 2020","633.65","635.18","635.27","632.15","-","-0.15%"
"Dec 21, 2020","634.60","639.61","639.64","627.66","-","-0.81%"
"Dec 18, 2020","639.80","641.96","641.96","637.23","-","-0.33%"
"Dec 17, 2020","641.89","637.30","641.90","637.14","-","0.75%"
"Dec 16, 2020","637.10","634.25","638.24","634.25","-","0.51%"
"Dec 15, 2020","633.89","629.01","634.30","628.07","-","0.80%"
"Dec 14, 2020","628.84","630.28","634.59","628.84","-","-0.16%"
"Dec 11, 2020","629.83","631.30","632.03","626.56","-","-0.19%"
"Dec 10, 2020","631.05","630.63","632.07","626.73","-","0.03%"
"Dec 09, 2020","630.89","633.78","636.29","628.92","-","-0.46%"
"Dec 08, 2020","633.81","632.11","634.20","630.60","-","0.21%"
"Dec 07, 2020","632.46","633.01","633.36","631.05","-","-0.10%"
"Dec 04, 2020","633.09","628.31","633.09","628.29","-","0.73%"
"Dec 03, 2020","628.50","626.79","630.13","626.59","-","0.36%"
"Dec 02, 2020","626.25","625.68","626.73","622.68","-","0.21%"
"Dec 01, 2020","624.91","617.87","626.78","617.86","-","1.07%"
"Nov 30, 2020","618.27","623.74","623.94","615.93","-","-0.88%"
"Nov 27, 2020","623.76","621.38","624.29","621.22","-","0.39%"
"Nov 26, 2020","621.32","620.72","621.87","620.59","-","0.13%"
"Nov 25, 2020","620.49","620.90","622.12","618.43","-","0.00%"
"Nov 24, 2020","620.47","611.83","621.15","611.83","-","1.44%"
"Nov 23, 2020","611.69","609.50","614.09","609.24","-","0.36%"
"Nov 20, 2020","609.52","610.62","611.61","609.49","-","-0.12%"
"Nov 19, 2020","610.27","609.68","611.01","605.80","-","0.03%"
"Nov 18, 2020","610.11","612.83","614.89","609.62","-","-0.45%"
"Nov 17, 2020","612.86","613.80","614.31","609.96","-","-0.12%"
"Nov 16, 2020","613.61","606.39","613.89","606.39","-","1.27%"
"Nov 13, 2020","605.92","601.09","607.03","600.18","-","0.76%"
"Nov 12, 2020","601.32","605.36","606.02","599.20","-","-0.62%"
"Nov 11, 2020","605.09","600.65","605.98","600.65","-","0.72%"
