"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2021","24.30","24.60","24.75","24.10","29.87K","-1.82%"
"Apr 20, 2021","24.75","25.20","25.20","24.55","25.88K","-1.39%"
"Apr 19, 2021","25.10","25.15","25.70","25.05","48.44K","-6.86%"
"Apr 16, 2021","26.95","26.05","27.00","26.05","78.64K","4.05%"
"Apr 15, 2021","25.90","26.00","26.45","25.90","24.05K","-0.77%"
"Apr 14, 2021","26.10","26.35","26.45","25.90","12.35K","-0.76%"
"Apr 13, 2021","26.30","25.95","26.30","25.85","14.62K","1.94%"
"Apr 12, 2021","25.80","25.95","26.10","25.60","19.91K","-0.39%"
"Apr 09, 2021","25.90","25.90","26.20","25.70","14.67K","0.00%"
"Apr 08, 2021","25.90","26.20","26.20","25.30","42.38K","0.00%"
"Apr 07, 2021","25.90","25.60","26.40","25.60","27.96K","0.19%"
"Apr 06, 2021","25.85","25.80","26.25","25.65","21.91K","0.78%"
"Apr 01, 2021","25.65","24.75","25.95","24.75","21.38K","3.22%"
"Mar 31, 2021","24.85","25.20","25.30","24.65","19.07K","-1.19%"
"Mar 30, 2021","25.15","25.10","25.40","25.05","11.46K","1.62%"
"Mar 29, 2021","24.75","24.85","25.05","24.75","10.85K","-0.20%"
"Mar 26, 2021","24.80","24.75","24.95","24.65","8.38K","0.20%"
"Mar 25, 2021","24.75","25.05","25.15","24.20","11.80K","-1.98%"
"Mar 24, 2021","25.25","24.50","25.35","24.30","21.05K","2.43%"
"Mar 23, 2021","24.65","24.75","24.85","24.30","15.13K","-0.40%"
"Mar 22, 2021","24.75","25.20","25.60","24.60","23.14K","-1.39%"
"Mar 19, 2021","25.10","26.25","26.30","25.10","77.43K","-4.20%"
"Mar 18, 2021","26.20","26.30","26.45","25.60","19.68K","-0.19%"
"Mar 17, 2021","26.25","26.70","26.70","26.20","18.46K","-1.69%"
"Mar 16, 2021","26.70","26.30","26.95","26.20","38.07K","1.91%"
"Mar 15, 2021","26.20","26.00","26.20","25.95","29.12K","1.55%"
"Mar 12, 2021","25.80","26.00","26.00","25.70","7.84K","-0.77%"
"Mar 11, 2021","26.00","25.80","26.10","25.65","11.81K","0.97%"
"Mar 10, 2021","25.75","25.60","26.05","25.40","21.17K","0.59%"
"Mar 09, 2021","25.60","25.65","26.10","25.50","23.08K","0.39%"
"Mar 08, 2021","25.50","25.00","25.50","24.85","51.62K","2.41%"
"Mar 05, 2021","24.90","24.95","25.15","24.70","15.96K","-1.19%"
"Mar 04, 2021","25.20","25.05","25.20","24.75","27.29K","0.60%"
"Mar 03, 2021","25.05","24.75","25.10","24.50","19.75K","2.04%"
"Mar 02, 2021","24.55","24.95","24.95","24.55","12.12K","-1.41%"
"Mar 01, 2021","24.90","24.25","24.95","24.25","19.26K","2.68%"
"Feb 26, 2021","24.25","24.35","24.50","24.25","13.02K","-1.42%"
"Feb 25, 2021","24.60","24.45","24.80","24.45","11.27K","0.61%"
"Feb 24, 2021","24.45","23.85","24.45","23.85","17.78K","1.88%"
"Feb 23, 2021","24.00","23.55","24.00","23.45","18.53K","1.91%"
"Feb 22, 2021","23.55","23.10","23.55","23.05","6.87K","1.95%"
"Feb 19, 2021","23.10","23.30","23.30","23.10","7.46K","-1.07%"
"Feb 18, 2021","23.35","23.50","23.50","23.05","15.19K","0.21%"
"Feb 17, 2021","23.30","23.10","23.85","23.10","26.84K","0.65%"
"Feb 16, 2021","23.15","22.65","23.30","22.65","47.62K","1.54%"
