"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 29, 2021","35.30","35.90","36.05","35.20","7.00K","-1.53%"
"Jul 28, 2021","35.85","35.50","36.40","35.50","7.87K","-0.83%"
"Jul 27, 2021","36.15","35.60","36.15","35.45","8.67K","1.54%"
"Jul 26, 2021","35.60","35.80","36.15","35.55","7.49K","-1.11%"
"Jul 23, 2021","36.00","35.95","36.25","35.60","9.62K","0.70%"
"Jul 22, 2021","35.75","36.20","36.25","35.65","12.80K","-0.83%"
"Jul 21, 2021","36.05","35.80","36.25","35.55","15.91K","1.84%"
"Jul 20, 2021","35.40","35.75","35.75","35.30","12.87K","-0.56%"
"Jul 19, 2021","35.60","35.90","35.90","35.00","24.00K","-0.42%"
"Jul 16, 2021","35.75","36.75","36.80","35.40","23.68K","-4.67%"
"Jul 15, 2021","37.50","37.30","37.50","36.75","25.83K","1.63%"
"Jul 14, 2021","36.90","36.85","37.35","36.45","45.36K","1.10%"
"Jul 13, 2021","36.50","36.50","36.85","36.30","18.30K","0.14%"
"Jul 12, 2021","36.45","35.95","36.85","35.75","31.38K","1.39%"
"Jul 09, 2021","35.95","34.25","35.95","34.25","29.63K","3.16%"
"Jul 08, 2021","34.85","34.75","34.90","34.45","24.44K","0.29%"
"Jul 07, 2021","34.75","34.10","34.90","34.10","10.80K","0.29%"
"Jul 06, 2021","34.65","34.40","34.65","34.15","24.23K","0.58%"
"Jul 05, 2021","34.45","33.90","34.55","33.85","12.70K","1.47%"
"Jul 02, 2021","33.95","33.35","34.00","33.35","9.17K","1.80%"
"Jul 01, 2021","33.35","32.75","33.35","32.60","20.52K","2.46%"
"Jun 30, 2021","32.55","33.40","33.40","32.55","33.08K","-2.54%"
"Jun 29, 2021","33.40","33.80","33.95","33.40","15.30K","-1.33%"
"Jun 28, 2021","33.85","34.65","34.65","33.85","14.08K","-1.17%"
"Jun 25, 2021","34.25","34.15","34.40","34.15","6.88K","0.29%"
"Jun 24, 2021","34.15","34.50","34.55","34.10","10.53K","-0.73%"
"Jun 23, 2021","34.40","34.75","34.95","34.40","11.84K","-1.71%"
"Jun 22, 2021","35.00","34.50","35.00","34.50","15.67K","1.16%"
"Jun 21, 2021","34.60","34.00","34.80","34.00","15.15K","-1.14%"
"Jun 18, 2021","35.00","34.40","35.00","34.35","41.70K","2.49%"
"Jun 17, 2021","34.15","34.20","34.35","34.15","6.43K","-0.44%"
