"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2021","732.70","728.08","733.74","727.03","68.38M","1.06%"
"Jun 23, 2021","725.05","731.57","732.18","725.05","68.37M","-0.49%"
"Jun 22, 2021","728.59","724.35","729.76","721.87","71.57M","0.67%"
"Jun 21, 2021","723.77","715.16","724.25","713.94","77.07M","0.58%"
"Jun 18, 2021","719.63","733.17","735.63","717.81","158.01M","-2.08%"
"Jun 17, 2021","734.89","728.75","736.07","728.47","81.00M","0.19%"
"Jun 16, 2021","733.50","732.68","734.87","731.12","62.99M","0.34%"
"Jun 15, 2021","730.98","733.97","734.64","730.85","70.84M","0.12%"
"Jun 14, 2021","730.10","730.98","734.64","728.40","72.32M","0.22%"
"Jun 11, 2021","728.48","726.70","729.00","724.99","61.81M","0.42%"
"Jun 10, 2021","725.45","723.66","727.14","721.43","79.17M","0.38%"
"Jun 09, 2021","722.71","719.89","723.25","718.70","75.70M","0.46%"
"Jun 08, 2021","719.43","719.31","723.04","718.00","102.72M","0.11%"
"Jun 07, 2021","718.61","719.87","721.31","716.08","49.05M","-0.22%"
"Jun 04, 2021","720.18","717.15","720.88","716.09","64.03M","0.43%"
"Jun 03, 2021","717.08","718.24","718.38","712.42","50.77M","-0.26%"
"Jun 02, 2021","718.93","715.93","719.05","715.56","64.01M","0.42%"
"Jun 01, 2021","715.94","712.81","722.07","712.81","65.25M","0.93%"
"May 31, 2021","709.36","712.54","714.57","709.02","32.33M","-0.55%"
"May 28, 2021","713.28","709.41","715.32","709.41","68.00M","0.69%"
"May 27, 2021","708.36","708.88","711.35","706.14","130.08M","-0.40%"
"May 26, 2021","711.17","714.32","715.52","710.09","71.56M","-0.15%"
"May 25, 2021","712.25","713.79","715.74","712.25","66.81M","0.25%"
"May 24, 2021","710.46","707.91","710.66","706.07","35.80M","0.50%"
"May 21, 2021","706.96","705.77","710.01","702.92","79.86M","0.41%"
"May 20, 2021","704.09","697.40","704.29","693.22","64.40M","1.49%"
"May 19, 2021","693.72","697.34","697.83","685.97","90.93M","-1.60%"
"May 18, 2021","705.01","709.40","710.15","704.93","73.37M","0.25%"
"May 17, 2021","703.22","704.82","705.83","699.79","66.51M","-0.02%"
"May 14, 2021","703.33","700.29","703.33","695.65","74.41M","1.31%"
"May 13, 2021","694.22","686.86","696.53","677.88","83.56M","-0.08%"
"May 12, 2021","694.76","696.51","698.99","692.53","95.34M","-0.17%"
"May 11, 2021","695.94","700.61","702.08","689.51","89.94M","-2.24%"
"May 10, 2021","711.91","718.48","718.48","710.83","76.89M","-0.90%"
"May 07, 2021","718.41","717.32","719.29","712.50","81.85M","0.84%"
"May 06, 2021","712.46","714.59","715.92","707.58","83.05M","-0.24%"
"May 05, 2021","714.14","703.78","714.42","702.92","98.69M","2.46%"
"May 04, 2021","696.98","714.02","714.25","695.71","90.91M","-2.13%"
"May 03, 2021","712.13","709.93","713.11","705.99","86.69M","0.65%"
"Apr 30, 2021","707.56","710.58","711.82","705.87","80.76M","-0.41%"
"Apr 29, 2021","710.47","715.78","719.26","709.97","93.50M","-0.19%"
"Apr 28, 2021","711.84","713.63","714.20","710.49","68.75M","-0.05%"
"Apr 27, 2021","712.22","715.41","715.56","709.72","70.28M","-0.45%"
"Apr 26, 2021","715.46","714.98","716.69","711.57","78.46M","-0.04%"
"Apr 23, 2021","715.77","710.48","715.77","709.44","74.97M","0.40%"
"Apr 22, 2021","712.94","712.58","714.62","710.35","85.58M","0.50%"
"Apr 21, 2021","709.36","707.16","710.62","704.63","99.90M","1.31%"
"Apr 20, 2021","700.19","710.88","713.38","699.06","83.35M","-1.65%"
"Apr 19, 2021","711.94","717.05","718.50","710.62","60.08M","-0.68%"
"Apr 16, 2021","716.80","714.48","716.80","712.57","80.79M","0.42%"
"Apr 15, 2021","713.80","713.21","714.98","712.37","71.14M","0.18%"
"Apr 14, 2021","712.55","708.83","713.31","708.44","70.17M","0.56%"
"Apr 13, 2021","708.60","709.10","710.85","706.10","69.62M","0.18%"
"Apr 12, 2021","707.35","711.94","713.48","706.70","68.59M","-0.84%"
"Apr 09, 2021","713.36","713.46","714.11","711.60","84.83M","-0.00%"
"Apr 08, 2021","713.38","713.46","713.97","710.70","118.02M","0.46%"
"Apr 07, 2021","710.08","711.90","712.85","709.63","73.87M","-0.45%"
"Apr 06, 2021","713.28","716.81","717.69","711.91","81.35M","0.68%"
"Apr 01, 2021","708.43","707.05","710.95","704.53","64.94M","1.23%"
"Mar 31, 2021","699.85","700.81","704.25","699.69","86.11M","-0.18%"
"Mar 30, 2021","701.12","700.82","702.44","696.96","75.42M","0.46%"
"Mar 29, 2021","697.94","697.94","700.85","696.92","77.76M","0.19%"
"Mar 26, 2021","696.62","690.69","697.94","689.68","83.31M","1.65%"
"Mar 25, 2021","685.33","684.32","686.48","677.33","83.59M","-0.12%"
"Mar 24, 2021","686.13","682.59","687.96","681.62","95.68M","0.64%"
"Mar 23, 2021","681.74","681.19","684.29","679.48","116.22M","-0.36%"
"Mar 22, 2021","684.21","678.38","684.23","677.86","88.57M","0.37%"
"Mar 19, 2021","681.70","675.89","683.43","675.89","259.92M","-0.10%"
"Mar 18, 2021","682.39","684.05","684.46","680.16","107.96M","0.25%"
"Mar 17, 2021","680.71","682.22","684.40","679.11","92.18M","-0.43%"
"Mar 16, 2021","683.65","682.74","684.45","679.65","106.80M","0.71%"
"Mar 15, 2021","678.80","678.43","681.54","676.14","93.65M","0.21%"
"Mar 12, 2021","677.41","679.80","679.89","675.47","91.45M","-0.92%"
"Mar 11, 2021","683.71","682.53","684.76","681.05","113.18M","0.84%"
"Mar 10, 2021","678.03","675.30","681.38","673.26","111.92M","0.43%"
"Mar 09, 2021","675.10","665.29","676.47","665.08","122.07M","1.42%"
"Mar 08, 2021","665.65","657.96","667.53","655.00","128.67M","1.80%"
"Mar 05, 2021","653.87","650.85","662.74","649.97","129.28M","-0.58%"
"Mar 04, 2021","657.67","656.88","661.36","652.17","110.58M","-0.86%"
"Mar 03, 2021","663.35","667.60","668.67","658.86","110.83M","0.01%"
"Mar 02, 2021","663.26","662.36","668.24","660.27","103.28M","-0.20%"
"Mar 01, 2021","664.58","662.02","665.69","658.62","104.06M","2.05%"
"Feb 26, 2021","651.26","651.21","658.23","647.90","133.47M","-1.99%"
"Feb 25, 2021","664.48","670.23","671.49","664.48","115.30M","-0.01%"
"Feb 24, 2021","664.54","662.43","666.59","659.56","112.89M","0.07%"
"Feb 23, 2021","664.06","669.62","669.62","653.94","190.98M","-1.14%"
"Feb 22, 2021","671.75","672.16","673.13","666.09","96.77M","-0.99%"
"Feb 19, 2021","678.48","674.45","679.79","671.74","98.56M","0.84%"
"Feb 18, 2021","672.81","681.44","683.51","670.41","99.82M","-1.21%"
"Feb 17, 2021","681.04","686.55","688.83","681.04","112.90M","-0.93%"
"Feb 16, 2021","687.43","686.94","689.24","685.76","90.70M","0.33%"
